symbol	GSM1301444	GSM1301445	GSM1301446	GSM1301447	GSM1301448	GSM1301449	GSM1301450	GSM1301451	GSM1301452	GSM1301453	GSM1301454	GSM1301455	GSM1301456	GSM1301457	GSM1301458	GSM1301459	GSM1301460	GSM1301461
MZB1	15.951606	14.141953	15.643463	15.316956	14.500739	16.34432	12.252711	15.396357	12.742341	11.17128	14.6862135	14.247159	12.350366	14.734768	13.697189	11.106313	14.681682	16.11145
MZF1	11.861692	11.946316	11.285301	11.77146	11.237504	13.20161	11.049471	11.331462	11.358054	11.046322	11.718511	10.877548	10.346541	11.2239685	11.557062	10.238683	12.023877	11.06882
MZT1	10.6620875	11.3687645	10.8159865	10.478183	10.5628464444444	10.468318	11.277245	10.32174075	10.578726	11.2671745	10.9957925	10.868257	10.879337	10.7547995	11.0857788333333	10.609689	10.14657725	10.454513
MZT2A	9.031812	9.03132375	8.8151865	9.0078425	9.0437885	8.5859945	8.42562175	8.8153565	8.944744	9.422647	8.8368265	8.5348075	8.989472	8.941377	8.895174	9.32540752777778	8.8138125	8.668222625
MZT2B	15.5252483333333	15.693072	15.6643020185185	15.38422	14.8825626666667	15.451067	15.400788	15.6740796666667	15.606266	16.51519	15.5882456666667	15.626853	14.5398556666667	15.4663433333333	15.606621	15.6823116296296	15.580179	15.555029
N4BP1	10.7279890833333	10.5879977777778	11.3735556111111	10.9273515	10.6061875	10.9107315	10.2875995	10.511542	10.8900825	9.392831	10.8609315	10.79853625	12.7838005	10.9688908333333	10.25793	11.04881	10.5854625	10.6369495
N4BP2	10.039564	9.1493675	9.313151	9.871572	9.7143205	9.9688995	10.18817325	9.43238725	9.227954	10.048732	9.8663675	9.0828965	10.6081978055556	9.7721165	9.79171225	9.7151665	9.761526	9.105387
N4BP2L1	11.742278	10.963887	11.269921	11.657299	11.523643	11.607902	11.350849	11.821821	10.937391	12.181687	10.895319	11.861692	13.08016	12.290078	12.0929	10.416541	11.336759	11.566564
N4BP2L2	13.1370245	12.496811	12.540179	13.2320195	12.9456995	12.9443795	12.38117	13.1032025	12.7919165	12.25309275	12.66127	12.96865025	13.89748125	13.2698695	13.327	12.423592	12.6256125	13.090006
N4BP3	6.7804868	7.16924445	7.1120445	6.64783285	6.2242054	6.1446153	6.184072	6.68232965	7.580713	6.71405861111111	7.0473565	7.102148	6.999503	6.9640502	7.86782802777778	7.49876525	6.4575948	6.33607885
N6AMT1	9.258147	9.702739	9.216597	9.801889	8.608758	9.611813	9.667097	9.557552	9.221559	9.437455	9.943691	9.140974	9.05845333333333	9.610554	8.650242	9.405028	9.050259	9.189592
N6AMT2	10.792016	11.295588	10.885437	10.598539	10.989546	10.535827	10.972356	10.517489	10.983496	10.793103	11.101838	10.652086	9.313408	10.720563	10.48742	10.529648	10.459104	10.58155
NAA10	12.343455	12.273946	12.411116	11.904457	11.680005	12.049167	11.87077	11.902217	12.128445	12.04604	11.78018	12.0880165	10.762796	12.944919	11.826565	11.928128	11.8663578333333	12.730274
NAA11	11.327515	11.295863	11.287977	10.968076	10.476017	11.110876	10.697874	10.964986	11.0225480555556	10.904665	10.7547455	10.965504	9.76896	11.854152	10.693446	10.734092	10.814439	11.700599
NAA15	8.428274	9.524843	9.055852	8.930747	9.2683965	8.8832305	9.01835675	8.8619715	8.785473	9.5573015	9.07128929166667	9.03741397222222	8.8205555	8.796361	9.079407	9.43191	8.93337975	8.567563
NAA16	8.07848480925926	8.19039976666667	8.6673405	8.25123216666667	8.90156976666667	8.20516566666667	8.8280692	8.43598666666667	8.413511	8.93893766666667	8.45692816666667	8.15562686666667	8.98343153333333	8.56151616296296	8.825444	8.93983246666667	7.99196826666667	8.55543193333333
NAA20	12.855716	13.042368	12.675605	13.123668	12.875278	12.667463	12.752057	12.756484	13.261777	12.857666	13.4797125	12.593151	12.3440533888889	12.868128	13.205605	13.780376	12.805224	13.044075
NAA25	5.8381543	6.30273386666667	6.851375	6.029003	6.6038485	5.708896	6.661871	6.147406	6.333439	5.8618107	6.366198	5.9787383	7.8975368	5.8104486	6.178922	7.2828894	6.32263	6.212605
NAA30	8.858397125	8.98497925	9.06626325	8.532965575	8.43631365	8.90586515	8.52692197222222	8.77204425	8.737989875	8.53784135	8.59974571944444	8.762673175	9.44504666666667	9.19110925	8.318876425	9.23653875	8.367154375	9.06329825
NAA35	11.9930819722222	11.94503125	11.8572805	11.9361405	12.30093325	12.2631412638889	12.5146480833333	11.5645443888889	11.85891875	12.1370675	12.189786	12.2262959722222	11.8676385	12.05099075	12.54862375	12.3347175833333	11.7672215	12.3136535
NAA38	13.6441225	13.3362005	13.5042425	13.367687	13.1685025	13.598686	13.858485	13.431559	13.140739	13.95139575	13.490139	13.4410865	13.4026375	13.5707005	13.492733	13.29417	13.2658805	13.3682125
NAA40	8.60913	8.4196625	8.6892925	8.5545165	8.69971	8.00531225	9.0493345	8.3578385	8.235881	8.8550835	8.4744495	8.741065	8.45203094444445	9.45111611111111	8.091303	8.048211	8.641708	8.4342415
NAA50	11.2250095	11.703711	11.271008	11.424657	11.432507	10.7473285	12.007397	11.34435	11.1197555	11.282958	11.2252305	11.481998	11.019572	11.194668	11.229243	11.202671	11.115378	10.99067675
NAA60	8.816218	8.305275	9.414924	8.4106245	9.15549	8.740369	9.0339575	8.735304	8.631929	8.656035	8.234253	8.609814	8.926194	9.053918	8.756831	8.565784	8.881476	8.415387
NAAA	11.700416	10.866375	10.2316125	11.7375932777778	11.7150475	11.7143465	10.978786	11.8625120555556	11.322752	11.6450265	12.2050588333333	11.8315975	11.9429545	11.776106	11.377448	10.866551	11.309657	11.6797887222222
